Date:DateTime,Weekday,TimeSector,Sequence:Int,StartTime,EndTime,Name,Type,Condition,IsActive:Int
,星期一,上午,1,,,英语,Course,,1
,星期一,上午,2,,,体育,Course,,1
,星期一,上午,3,,,数学,Course,,1
,星期一,上午,4,,,语文,Course,,1
,星期一,下午,1,,,美术,Course,,1
,星期一,下午,2,,,自主钻研,Course,,1
,星期二,上午,1,,,英语,Course,,1
,星期二,上午,2,,,体育,Course,,1
,星期二,上午,3,,,数学,Course,,1
,星期二,上午,4,,,语文,Course,,1
,星期二,下午,1,,,音乐,Course,,1
,星期二,下午,2,,,自主钻研,Course,,1
,星期三,上午,1,,,数学,Course,,1
,星期三,上午,2,,,体育,Course,,1
,星期三,上午,3,,,语文,Course,,1
,星期三,上午,4,,,语文,Course,,1
,星期三,下午,1,,,心理,Course,,1
,星期三,下午,2,,,自主钻研,Course,,1
,星期四,上午,1,,,数学,Course,,1
,星期四,上午,2,,,体育,Course,,1
,星期四,上午,3,,,语文,Course,,1
,星期四,上午,4,,,语文,Course,,1
,星期四,下午,1,,,品生,Course,,1
,星期四,下午,2,,,自主钻研,Course,,1
,星期五,上午,1,,,语文,Course,,1
,星期五,上午,2,,,数学,Course,,1
,星期五,上午,3,,,体育,Course,,1
,星期五,上午,4,,,英语,Course,,1
,星期五,下午,1,,,班队,Course,,1
,星期一,下午,1,,,田径,Training,,1
,星期一,下午,1,,,舞蹈,Training,,1
,星期一,下午,1,,,戏剧表演,Training,,1
,星期一,下午,1,,,京剧,Training,,1
,星期一,下午,1,,,硬笔书法,Training,,1
,星期一,下午,1,,,小记者,Training,,0
,星期一,下午,1,,,小小建筑师,Training,,0
,星期一,下午,1,,,计算机初级,Training,,1
,星期一,下午,1,,,英语故事天地,Training,,1
,星期一,下午,1,,,游泳,Training,,0
,星期二,下午,1,,,美术,Training,,0
,星期二,下午,1,,,面塑,Training,,0
,星期二,下午,1,,,舞蹈,Training,,1
,星期二,下午,1,,,电影欣赏,Training,,1
,星期二,下午,1,,,脑筋转转转,Training,,1
,星期二,下午,1,,,动手动脑,Training,,0
,星期二,下午,1,,,小合唱,Training,,0
,星期二,下午,1,,,小牛顿,Training,,0
,星期二,下午,1,,,小足球,Training,,0
,星期三,下午,1,,,围棋,Training,,1
,星期三,下午,1,,,游泳,Training,,0
,星期三,下午,1,,,京剧,Training,,1
,星期三,下午,1,,,国际象棋,Training,,1
,星期三,下午,1,,,朗诵,Training,,0
,星期四,下午,1,,,田径,Training,,1
,星期四,下午,1,,,动手实践,Training,,1
,星期四,下午,1,,,围棋,Training,,1
,星期四,下午,1,,,中华美德故事,Training,,1
,星期一,下午,0,16:55,,家长接,Delivery,有兴趣班,1
,星期一,下午,0,15:45,,家长接,Delivery,没有兴趣班,1
,星期二,下午,0,16:55,,家长接,Delivery,有兴趣班,1
,星期二,下午,0,15:45,,家长接,Delivery,没有兴趣班,1
,星期三,下午,0,16:55,,家长接,Delivery,有兴趣班,1
,星期三,下午,0,15:45,,家长接,Delivery,没有兴趣班,1
,星期四,下午,0,16:55,,家长接,Delivery,有兴趣班,1
,星期四,下午,0,15:45,,家长接,Delivery,没有兴趣班,1
,星期五,下午,0,14:30,,家长接,Delivery,,1
2017-05-27,端午假期前最后一天,下午,0,14:30,,家长接,Delivery,,1
2017-06-01,六一儿童节,,0,,,不上课,Course,,1
2017-06-01,六一儿童节,,0,,,不上课不用接,Delivery,,1
2017-06-01,六一儿童节,,0,,,不上课没有兴趣班,Training,,1